"Rank","Root Domain","Linking Root Domains","Domain Authority"
"179","nationalgeographic.com","605,309","93"
"180","doubleclick.net","623,898","93"
"181","gooyaabitemplates.com","415,190","93"
"182","lemonde.fr","253,245","93"
"183","abc.es","187,964","93"
"184","instagram.com","24,371,571","93"
"185","ytimg.com","492,618","93"
"186","researchgate.net","502,710","93"
"187","ft.com","426,491","93"
"188","translate.google.com","287,945","93"
"189","alexa.com","310,905","93"
"190","imageshack.us","808,946","93"
"191","naver.com","476,255","93"
"192","google.co.id","176,530","93"
"193","ca.gov","435,099","93"
"194","kickstarter.com","451,365","93"
"195","google.com.tw","141,699","93"
"196","rambler.ru","223,366","93"
"197","gofundme.com","326,665","93"
"198","ted.com","592,704","93"
"199","stanford.edu","588,141","93"
"200","shopify.com","1,691,025","93"
"201","kakao.com","122,610","93"
"202","cornell.edu","420,314","93"
"203","wikihow.com","465,802","93"
"204","liberation.fr","120,620","93"
"205","playstation.com","215,262","93"
"206","webmd.com","637,930","93"
"207","sfgate.com","362,210","93"
"208","eventbrite.com","601,094","93"
"209","home.neustar","467,662","93"
"210","metro.co.uk","219,269","93"
"211","yahoo.co.jp","628,665","93"
"212","disney.com","234,223","93"
"213","britannica.com","393,885","93"
"214","spiegel.de","319,357","93"
"215","vice.com","366,025","93"
"216","walmart.com","307,543","93"
"217","mit.edu","650,230","93"
"218","ovh.com","476,789","93"
"219","sapo.pt","222,197","93"
"220","www.wikipedia.org","529,907","93"
"221","sciencedirect.com","543,883","93"
"222","groups.google.com","330,428","93"
"223","nokia.com","163,070","93"
"224","ign.com","271,827","93"
"225","abc.net.au","381,627","93"
"226","engadget.com","429,627","93"
"227","nikkei.com","214,093","93"
"228","springer.com","421,903","93"
"229","netlify.app","321,473","93"
"230","instructables.com","313,778","93"
"231","buzzfeed.com","538,088","93"
"232","cambridge.org","285,110","93"
"233","steampowered.com","250,045","93"
"234","latimes.com","692,862","93"
"235","m.wikipedia.org","288,531","93"
"236","ea.com","178,091","93"
"237","google.nl","244,809","93"
"238","welt.de","211,110","93"
"239","skype.com","420,175","93"
"240","huawei.com","1,848,660","93"
"241","ikea.com","312,381","93"
"242","my.yahoo.com","1,162,764","93"
"243","lycos.com","677,285","93"
"244","smh.com.au","295,509","93"
"245","google.co.in","264,073","93"
"246","economist.com","356,466","93"
"247","techcrunch.com","458,984","93"
"248","newsweek.com","315,208","93"
"249","bp2.blogger.com","543,416","93"
"250","lavanguardia.com","130,957","93"
"251","zoom.us","535,502","93"
"252","pl.wikipedia.org","142,180","93"
"253","rapidshare.com","286,706","93"
"254","ibm.com","481,621","93"
"255","wikia.com","503,171","93"
"256","academia.edu","346,217","93"
"257","fda.gov","333,094","93"
"258","photobucket.com","1,681,161","93"
"259","unesco.org","301,217","93"
"260","urbandictionary.com","243,659","93"
"261","mozilla.com","200,559","93"
"262","bloglovin.com","502,146","93"
"263","nypost.com","351,179","93"
"264","amzn.to","849,924","93"
"265","discord.com","273,050","93"
"266","sky.com","210,071","93"
"267","psychologytoday.com","339,618","93"
"268","weibo.com","1,423,605","93"
"269","goodreads.com","847,019","93"
"270","thetimes.co.uk","363,845","93"
"271","nydailynews.com","356,008","93"
"272","berkeley.edu","447,431","93"
"273","gizmodo.com","390,586","93"
"274","repubblica.it","192,953","93"
"275","surveymonkey.com","429,427","93"
"276","finance.yahoo.com","435,822","93"
"277","quora.com","375,510","93"
"278","hm.com","177,847","93"
"279","apache.org","936,755","93"
"280","theatlantic.com","525,259","93"
"281","gmail.com","208,395","93"
"282","afternic.com","2,247,622","93"
"283","code.google.com","327,613","93"
"284","feedproxy.google.com","780,475","93"
"285","addthis.com","687,939","93"
"286","deezer.com","147,777","93"
"287","photos1.blogger.com","851,877","93"
"288","secureserver.net","1,032,217","93"
"289","akamaihd.net","491,495","93"
"290","hp.com","438,591","93"
"291","arxiv.org","215,989","93"
"292","addtoany.com","725,679","93"
"293","pexels.com","261,171","93"
"294","www.gov.br","125,775","93"
"295","whitehouse.gov","366,275","93"
"296","nginx.org","629,813","93"
"297","sputniknews.com","163,689","93"
"298","fb.me","297,080","93"
"299","dw.com","303,296","93"
"300","sciencedaily.com","336,626","93"
"301","ietf.org","368,188","93"
"302","mega.nz","169,957","93"
"303","tripadvisor.com","564,767","93"
"304","yandex.ru","985,917","93"
"305","guardian.co.uk","604,150","93"
"306","oracle.com","551,584","93"
"307","amazon.it","145,578","93"
"308","ria.ru","171,968","93"
"309","id.wikipedia.org","495,719","93"
"310","news.com.au","288,999","93"
"311","orange.fr","177,397","93"
"312","francetvinfo.fr","141,255","93"
"313","bing.com","963,109","93"
"314","gnu.org","572,794","93"
"315","cbsnews.com","501,265","93"
"316","detik.com","381,275","93"
"317","www.wix.com","715,037","93"
"318","newyorker.com","390,757","93"
"319","umich.edu","322,616","93"
"320","pixabay.com","387,176","93"
"321","sedo.com","2,436,179","93"
"322","disqus.com","912,636","93"
"323","yelp.com","888,035","93"
"324","lefigaro.fr","210,587","93"
"325","amazon.fr","245,286","93"
"326","search.yahoo.com","447,448","93"
"327","rtve.es","174,916","93"
"328","mysql.com","399,323","93"
"329","discord.gg","245,026","93"
"330","oup.com","365,269","93"
"331","ziddu.com","184,529","93"
"332","box.com","260,341","93"
"333","picasa.google.com","253,387","93"
"334","cnil.fr","193,131","93"
"335","rt.com","272,910","93"
"336","nbcnews.com","648,283","93"
"337","icann.org","594,032","93"
"338","ggpht.com","666,034","93"
"339","themeforest.net","513,245","93"
"340","cnbc.com","489,330","93"
"341","loc.gov","427,201","93"
"342","godaddy.com","2,448,956","93"
"343","clarin.com","129,075","93"
"344","mashable.com","404,768","93"
"345","tmz.com","203,045","93"
"346","www.over-blog.com","820,583","93"
"347","zendesk.com","480,819","93"
"348","sendspace.com","154,187","93"
"349","yadi.sk","180,322","93"
"350","php.net","631,520","93"
"351","ja.wikipedia.org","339,646","93"
"352","express.co.uk","281,536","93"
"353","stackoverflow.com","336,478","93"
"354","doi.org","427,751","93"
"355","spotify.com","1,350,182","93"
"356","netflix.com","309,427","93"
"357","storage.googleapis.com","664,219","93"
"358","wp.com","1,272,125","93"
